  nrad, njump, ngauss =          501           5          48
 King model; w0 =   -7.00000  M, rc, sigma, rhocen =     1.000000000    0.103000000    0.737253897   36.693771317     b =
     0.150855618    6.074331729    0.169006810   -2.853602373   -1.051718228    0.702806726    0.702506799    1.020947818
     0.156019079    5.643084627    0.177949029   -2.815554341   -1.025312432    0.685272155    0.685583241    0.951561329
     0.161267020    5.241405525    0.186974030   -2.777506309   -0.999569740    0.667893269    0.667991516    0.886865796
     0.166605717    4.867292718    0.196079181   -2.739458278   -0.974485242    0.650762105    0.650595072    0.826544080
     0.172041485    4.518879748    0.205262256   -2.701410246   -0.950044899    0.633978419    0.633612354    0.770300485
     0.177580711    4.194426297    0.214521408   -2.663362214   -0.926239280    0.617407661    0.617169142    0.717859305
     0.183229883    3.892309683    0.223855140   -2.625314183   -0.903059623    0.601072144    0.601206291    0.668963473
     0.188995627    3.611016694    0.233262277   -2.587266151   -0.880496872    0.584987653    0.584712647    0.623373301
     0.194884733    3.349137146    0.242741945   -2.549218120   -0.858539256    0.569306078    0.569682320    0.580865306
     0.200904186    3.105355094    0.252293554   -2.511170088   -0.837172057    0.553850290    0.554412610    0.541231115
     0.207061196    2.878444489    0.261916778   -2.473122056   -0.816389783    0.538681952    0.538997352    0.504276440
     0.213363227    2.667261446    0.271611536   -2.435074025   -0.796174985    0.523946993    0.523842572    0.469820129
     0.219818026    2.470740059    0.281377982   -2.397025993   -0.776515816    0.509500885    0.509085914    0.437693278
     0.226433656    2.287885734    0.291216486   -2.358977961   -0.757399950    0.495372047    0.495575442    0.407738401
     0.233218527    2.117771734    0.301127628   -2.320929930   -0.738815695    0.481579022    0.482341952    0.379808658
     0.240181430    1.959533374    0.311112180   -2.282881898   -0.720748628    0.468184484    0.468687036    0.353767139
     0.247331573    1.812365002    0.321171101   -2.244833866   -0.703184806    0.455096885    0.455256117    0.329486187
     0.254678617    1.675514941    0.331305523   -2.206785835   -0.686112865    0.442378438    0.442658038    0.306846777
     0.262232719    1.548282524    0.341516744   -2.168737803   -0.669517103    0.430010517    0.430108164    0.285737932
     0.270004575    1.430014316    0.351806218   -2.130689772   -0.653386403    0.417985886    0.418637489    0.266056175
     0.278005464    1.320101159    0.362175547   -2.092641740   -0.637705311    0.406332757    0.406573092    0.247705027
     0.286247301    1.217974908    0.372626473   -2.054593708   -0.622461879    0.395010926    0.395550464    0.230594529
     0.294742689    1.123105885    0.383160870   -2.016545677   -0.607641861    0.384057610    0.384426539    0.214640807
     0.303504982    1.035000207    0.393780734   -1.978497645   -0.593231713    0.373490157    0.374062336    0.199765655
     0.312548348    0.953197318    0.404488178   -1.940449613   -0.579216327    0.363269830    0.364028621    0.185896155
     0.321887838    0.877267702    0.415285422   -1.902401582   -0.565583745    0.353409349    0.353752907    0.172964319
     0.331539469    0.806811021    0.426174783   -1.864353550   -0.552318870    0.343895573    0.343866019    0.160906756
     0.341520303    0.741453719    0.437158670   -1.826305518   -0.539410277    0.334726269    0.334806633    0.149664358
     0.351848548    0.680847684    0.448239567   -1.788257487   -0.526842680    0.325938479    0.325902651    0.139182015
     0.362543659    0.624668201    0.459420030   -1.750209455   -0.514602808    0.317531835    0.318002080    0.129408344
     0.373626452    0.572612477    0.470702671   -1.712161424   -0.502675402    0.309468636    0.309664305    0.120295433
     0.385119237    0.524398186    0.482090146   -1.674113392   -0.491048800    0.301773070    0.301760249    0.111798612
     0.397045958    0.479761991    0.493585141   -1.636065360   -0.479707445    0.294409807    0.294605856    0.103876228
     0.409432352    0.438458387    0.505190353   -1.598017329   -0.468639845    0.287482437    0.287349487    0.096489446
     0.422306128    0.400258337    0.516908476   -1.559969297   -0.457826105    0.280953871    0.281279695    0.089602056
     0.435697169    0.364948318    0.528742179   -1.521921265   -0.447256357    0.274741019    0.275441820    0.083180297
