  nrad, njump, ngauss =          501           5          48
 King model; w0 =   -3.00000  M, rc, sigma, rhocen =     1.000000000    0.333000000    0.899254921    5.222877319     b =
     0.550329731    0.320786509    0.689229317   -1.043170643   -0.035535092    0.086157046    0.086213811    0.086159128
     0.561097598    0.299310232    0.702177582   -1.018910861   -0.033487921    0.082645299    0.082540300    0.082645558
     0.572087710    0.278889384    0.714987112   -0.994651078   -0.031524328    0.079238587    0.079197056    0.079235829
     0.583311160    0.259488016    0.727649598   -0.970391296   -0.029642534    0.075926497    0.075932333    0.075926873
     0.594779676    0.241070758    0.740156554   -0.946131514   -0.027839561    0.072719058    0.072646846    0.072715712
     0.606505677    0.223603460    0.752499295   -0.921871731   -0.026113589    0.069591669    0.069637071    0.069599455
     0.618502333    0.207052640    0.764668937   -0.897611949   -0.024462112    0.066574534    0.066643946    0.066575297
     0.630783633    0.191386189    0.776656369   -0.873352166   -0.022882736    0.063642240    0.063628984    0.063640516
     0.643364456    0.176572304    0.788452253   -0.849092384   -0.021373529    0.060795183    0.060756571    0.060792471
     0.656260652    0.162580386    0.800047002   -0.824832602   -0.019932319    0.058029825    0.058071095    0.058028599
     0.669489134    0.149380781    0.811430774   -0.800572819   -0.018557287    0.055346149    0.055344391    0.055346411
     0.683067971    0.136944298    0.822593459   -0.776313037   -0.017246297    0.052742945    0.052841560    0.052743494
     0.697016504    0.125242798    0.833524664   -0.752053254   -0.015997610    0.050215506    0.050262236    0.050217505
     0.711355462    0.114248658    0.844213712   -0.727793472   -0.014809197    0.047770405    0.047720271    0.047766171
     0.726107100    0.103935193    0.854649629   -0.703533690   -0.013679321    0.045385768    0.045410622    0.045387284
     0.741295350    0.094276309    0.864821142   -0.679273907   -0.012606483    0.043077358    0.043094498    0.043078703
     0.756945992    0.085246435    0.874716673   -0.655014125   -0.011588645    0.040840933    0.040860222    0.040838352
     0.773086839    0.076820962    0.884324349   -0.630754342   -0.010624435    0.038661818    0.038683850    0.038664213
     0.789747956    0.068975655    0.893632000   -0.606494560   -0.009712193    0.036556546    0.036569096    0.036554330
     0.806961893    0.061686885    0.902627177   -0.582234778   -0.008850294    0.034504860    0.034441269    0.034506803
     0.824763963    0.054931664    0.911297179   -0.557974995   -0.008037504    0.032518448    0.032507162    0.032519789
     0.843192542    0.048687533    0.919629070   -0.533715213   -0.007272007    0.030594671    0.030580620    0.030591501
     0.862289419    0.042932567    0.927609738   -0.509455430   -0.006552659    0.028720989    0.028736937    0.028720202
     0.882100187    0.037645308    0.935225949   -0.485195648   -0.005878020    0.026903774    0.026899952    0.026904209
     0.902674694    0.032804742    0.942464430   -0.460935866   -0.005246868    0.025139984    0.025117750    0.025141886
     0.924067550    0.028390265    0.949311971   -0.436676083   -0.004657806    0.023429726    0.023429828    0.023431648
     0.946338714    0.024381762    0.955755563   -0.412416301   -0.004109641    0.021772213    0.021763695    0.021771955
     0.969554160    0.020759524    0.961782586   -0.388156518   -0.003601044    0.020162131    0.020163622    0.020161313
     0.993786648    0.017504015    0.967381021   -0.363896736   -0.003131013    0.018597780    0.018613859    0.018598273
     1.019116599    0.014596280    0.972539743   -0.339636954   -0.002698284    0.017083474    0.017066820    0.017081427
     1.045633121    0.012017418    0.977248886   -0.315377171   -0.002301807    0.015609166    0.015604811    0.015609412
     1.073435174    0.009748930    0.981500295   -0.291117389   -0.001940569    0.014179927    0.014192603    0.014180901
     1.102632928    0.007772342    0.985288107   -0.266857606   -0.001613444    0.012795135    0.012796887    0.012794608
     1.133349329    0.006069582    0.988609441   -0.242597824   -0.001319447    0.011448448    0.011442645    0.011449287
     1.165721917    0.004622451    0.991465309   -0.218338042   -0.001057637    0.010142934    0.010141019    0.010143727
     1.199904926    0.003412834    0.993861660   -0.194078259   -0.000826990    0.008877784    0.008875274    0.008876751
     1.236071720    0.002422515    0.995810665   -0.169818477   -0.000626602    0.007648366    0.007648418    0.007647220
     1.274417618    0.001633238    0.997332311   -0.145558694   -0.000455612    0.006453790    0.006465667    0.006454027
     1.315163157    0.001026289    0.998456119   -0.121298912   -0.000313170    0.005295944    0.005296723    0.005296099
     1.358557881    0.000582349    0.999222995   -0.097039130   -0.000198375    0.004172804    0.004179648    0.004172392
     1.404884721    0.000281217    0.999686969   -0.072779347   -0.000110451    0.003081409    0.003080529    0.003081896
     1.454465115    0.000101163    0.999916207   -0.048519565   -0.000048594    0.002023631    0.002023458    0.002023629
     1.507665046    0.000017712    0.999991783   -0.024259782   -0.000012015    0.000996788    0.001003010    0.000996638
     1.564902439    0.000000000    1.000000000    0.000000000    0.000000000   -0.000001532    0.000000000    0.000000000
