#  Analytical solution of Radius vs. Time for a collapsing hom sphere
#  nemoinp 0:pi:0.001 | tabmath - - "(%1+sin(%1))/(2*pi*sqrt(8/3)),0.5*(1+cos(%1))" all > iau25-tr.tab

#  Time    Radius
0.0667749 0.970368 
0.0669641 0.970199 
0.0671532 0.970028 
0.0673422 0.969858 
0.0675313 0.969686 
0.0677203 0.969515 
0.0679092 0.969343 
0.0680982 0.96917 
0.0682871 0.968997 
0.0684759 0.968823 
0.0686648 0.968649 
0.0688536 0.968475 
0.0690423 0.9683 
0.069231 0.968124 
0.0694197 0.967948 
0.0696084 0.967772 
0.069797 0.967595 
0.0699856 0.967418 
0.0701742 0.96724 
0.0703627 0.967062 
0.0705512 0.966883 
0.0707396 0.966704 
0.070928 0.966524 
0.0711164 0.966344 
0.0713048 0.966164 
0.0714931 0.965983 
0.0716814 0.965801 
0.0718696 0.965619 
0.0720578 0.965437 
0.072246 0.965254 
0.0724341 0.96507 
0.0726222 0.964887 
0.0728103 0.964702 
0.0729983 0.964518 
0.0731863 0.964332 
0.0733742 0.964147 
0.0735622 0.96396 
0.07375 0.963774 
0.0739379 0.963587 
0.0741257 0.963399 
0.0743135 0.963211 
0.0745012 0.963023 
0.0746889 0.962834 
0.0748766 0.962644 
0.0750642 0.962455 
0.0752518 0.962264 
0.0754393 0.962073 
0.0756268 0.961882 
0.0758143 0.96169 
0.0760017 0.961498 
0.0761891 0.961306 
0.0763765 0.961113 
0.0765638 0.960919 
0.0767511 0.960725 
0.0769384 0.96053 
0.0771256 0.960336 
0.0773128 0.96014 
0.0774999 0.959944 
0.077687 0.959748 
0.077874 0.959551 
0.0780611 0.959354 
0.078248 0.959156 
0.078435 0.958958 
0.0786219 0.958759 
0.0788088 0.95856 
0.0789956 0.958361 
0.0791824 0.958161 
0.0793691 0.95796 
0.0795558 0.95776 
0.0797425 0.957558 
0.0799291 0.957356 
0.0801157 0.957154 
0.0803023 0.956951 
0.0804888 0.956748 
0.0806753 0.956544 
0.0808617 0.95634 
0.0810481 0.956136 
0.0812345 0.955931 
0.0814208 0.955725 
0.081607 0.955519 
0.0817933 0.955313 
0.0819795 0.955106 
0.0821656 0.954899 
0.0823517 0.954691 
0.0825378 0.954483 
0.0827238 0.954274 
0.0829098 0.954065 
0.0830958 0.953856 
0.0832817 0.953645 
0.0834676 0.953435 
0.0836534 0.953224 
0.0838392 0.953013 
0.0840249 0.952801 
0.0842106 0.952589 
0.0843963 0.952376 
0.0845819 0.952163 
0.0847675 0.951949 
0.084953 0.951735 
0.0851385 0.95152 
0.085324 0.951305 
0.0855094 0.95109 
0.0856947 0.950874 
0.0858801 0.950658 
0.0860654 0.950441 
0.0862506 0.950224 
0.0864358 0.950006 
0.086621 0.949788 
0.0868061 0.949569 
0.0869911 0.94935 
0.0871762 0.949131 
0.0873612 0.948911 
0.0875461 0.94869 
0.087731 0.948469 
0.0879159 0.948248 
0.0881007 0.948026 
0.0882855 0.947804 
0.0884702 0.947581 
0.0886549 0.947358 
0.0888395 0.947135 
0.0890241 0.946911 
0.0892087 0.946686 
0.0893932 0.946461 
0.0895776 0.946236 
0.0897621 0.94601 
0.0899464 0.945784 
0.0901308 0.945557 
0.0903151 0.94533 
0.0904993 0.945103 
0.0906835 0.944875 
0.0908677 0.944646 
0.0910518 0.944417 
0.0912358 0.944188 
0.0914199 0.943958 
0.0916038 0.943728 
0.0917878 0.943497 
0.0919717 0.943266 
0.0921555 0.943035 
0.0923393 0.942803 
0.0925231 0.94257 
0.0927068 0.942337 
0.0928904 0.942104 
0.093074 0.94187 
0.0932576 0.941636 
0.0934411 0.941402 
0.0936246 0.941166 
0.093808 0.940931 
0.0939914 0.940695 
0.0941748 0.940459 
0.0943581 0.940222 
0.0945413 0.939984 
0.0947245 0.939747 
0.0949077 0.939508 
0.0950908 0.93927 
0.0952739 0.939031 
0.0954569 0.938791 
0.0956398 0.938551 
0.0958228 0.938311 
0.0960056 0.93807 
0.0961885 0.937829 
0.0963712 0.937587 
0.096554 0.937345 
0.0967367 0.937103 
0.0969193 0.93686 
0.0971019 0.936616 
0.0972845 0.936372 
0.0974669 0.936128 
0.0976494 0.935883 
0.0978318 0.935638 
0.0980142 0.935392 
0.0981965 0.935146 
0.0983787 0.9349 
0.0985609 0.934653 
0.0987431 0.934406 
0.0989252 0.934158 
0.0991073 0.93391 
0.0992893 0.933661 
0.0994713 0.933412 
0.0996532 0.933162 
0.0998351 0.932912 
0.100017 0.932662 
0.100199 0.932411 
0.10038 0.93216 
0.100562 0.931908 
0.100744 0.931656 
0.100925 0.931404 
0.101107 0.931151 
0.101288 0.930897 
0.10147 0.930643 
0.101651 0.930389 
0.101832 0.930134 
0.102014 0.929879 
0.102195 0.929624 
0.102376 0.929368 
0.102557 0.929111 
0.102738 0.928854 
0.102919 0.928597 
0.1031 0.928339 
0.103281 0.928081 
0.103462 0.927823 
0.103643 0.927564 
0.103824 0.927304 
0.104004 0.927044 
0.104185 0.926784 
0.104366 0.926523 
0.104546 0.926262 
0.104727 0.926001 
0.104907 0.925739 
0.105088 0.925476 
0.105268 0.925213 
0.105448 0.92495 
0.105629 0.924687 
0.105809 0.924422 
0.105989 0.924158 
0.106169 0.923893 
0.106349 0.923628 
0.106529 0.923362 
0.106709 0.923096 
0.106889 0.922829 
0.107069 0.922562 
0.107249 0.922294 
0.107429 0.922026 
0.107608 0.921758 
0.107788 0.921489 
0.107968 0.92122 
0.108147 0.92095 
0.108327 0.92068 
0.108506 0.92041 
0.108685 0.920139 
0.108865 0.919868 
0.109044 0.919596 
0.109223 0.919324 
0.109402 0.919051 
0.109582 0.918779 
0.109761 0.918505 
0.10994 0.918231 
0.110119 0.917957 
0.110297 0.917682 
0.110476 0.917407 
0.110655 0.917132 
0.110834 0.916856 
0.111013 0.91658 
0.111191 0.916303 
0.11137 0.916026 
0.111548 0.915748 
0.111727 0.91547 
0.111905 0.915192 
0.112084 0.914913 
0.112262 0.914634 
0.11244 0.914354 
0.112618 0.914074 
0.112796 0.913794 
0.112975 0.913513 
0.113153 0.913232 
0.113331 0.91295 
0.113509 0.912668 
0.113686 0.912385 
0.113864 0.912102 
0.114042 0.911819 
0.11422 0.911535 
0.114397 0.911251 
0.114575 0.910966 
0.114752 0.910681 
0.11493 0.910396 
0.115107 0.91011 
0.115285 0.909824 
0.115462 0.909537 
0.115639 0.90925 
0.115817 0.908963 
0.115994 0.908675 
0.116171 0.908387 
0.116348 0.908098 
0.116525 0.907809 
0.116702 0.907519 
0.116879 0.90723 
0.117055 0.906939 
0.117232 0.906649 
0.117409 0.906357 
0.117586 0.906066 
0.117762 0.905774 
0.117939 0.905482 
0.118115 0.905189 
0.118292 0.904896 
0.118468 0.904602 
0.118644 0.904308 
0.11882 0.904014 
0.118997 0.903719 
0.119173 0.903424 
0.119349 0.903128 
0.119525 0.902832 
0.119701 0.902536 
0.119877 0.902239 
0.120052 0.901942 
0.120228 0.901644 
0.120404 0.901346 
0.12058 0.901048 
0.120755 0.900749 
0.120931 0.90045 
0.121106 0.90015 
0.121282 0.89985 
0.121457 0.89955 
0.121632 0.899249 
0.121808 0.898948 
0.121983 0.898646 
0.122158 0.898344 
0.122333 0.898042 
0.122508 0.897739 
0.122683 0.897436 
0.122858 0.897132 
0.123033 0.896828 
0.123208 0.896524 
0.123382 0.896219 
0.123557 0.895914 
0.123732 0.895608 
0.123906 0.895302 
0.124081 0.894996 
0.124255 0.894689 
0.124429 0.894382 
0.124604 0.894075 
0.124778 0.893767 
0.124952 0.893458 
0.125126 0.89315 
0.1253 0.892841 
0.125474 0.892531 
0.125648 0.892221 
0.125822 0.891911 
0.125996 0.8916 
0.12617 0.891289 
0.126343 0.890978 
0.126517 0.890666 
0.126691 0.890353 
0.126864 0.890041 
0.127038 0.889728 
0.127211 0.889414 
0.127384 0.889101 
0.127558 0.888786 
0.127731 0.888472 
0.127904 0.888157 
0.128077 0.887841 
0.12825 0.887526 
0.128423 0.88721 
0.128596 0.886893 
0.128769 0.886576 
0.128942 0.886259 
0.129114 0.885941 
0.129287 0.885623 
0.12946 0.885305 
0.129632 0.884986 
0.129805 0.884666 
0.129977 0.884347 
0.130149 0.884027 
0.130322 0.883706 
0.130494 0.883386 
0.130666 0.883065 
0.130838 0.882743 
0.13101 0.882421 
0.131182 0.882099 
0.131354 0.881776 
0.131526 0.881453 
0.131698 0.88113 
0.13187 0.880806 
0.132041 0.880482 
0.132213 0.880157 
0.132384 0.879832 
0.132556 0.879507 
0.132727 0.879181 
0.132899 0.878855 
0.13307 0.878528 
0.133241 0.878201 
0.133412 0.877874 
0.133583 0.877547 
0.133754 0.877219 
0.133925 0.87689 
0.134096 0.876561 
0.134267 0.876232 
0.134438 0.875903 
0.134608 0.875573 
0.134779 0.875243 
0.13495 0.874912 
0.13512 0.874581 
0.135291 0.87425 
0.135461 0.873918 
0.135631 0.873586 
0.135802 0.873253 
0.135972 0.87292 
0.136142 0.872587 
0.136312 0.872254 
0.136482 0.87192 
0.136652 0.871585 
0.136822 0.87125 
0.136991 0.870915 
0.137161 0.87058 
0.137331 0.870244 
0.1375 0.869908 
0.13767 0.869571 
0.137839 0.869234 
0.138009 0.868897 
0.138178 0.868559 
0.138347 0.868221 
0.138517 0.867883 
0.138686 0.867544 
0.138855 0.867205 
0.139024 0.866865 
0.139193 0.866525 
0.139362 0.866185 
0.139531 0.865844 
0.139699 0.865503 
0.139868 0.865162 
0.140037 0.86482 
0.140205 0.864478 
0.140374 0.864136 
0.140542 0.863793 
0.14071 0.86345 
0.140879 0.863106 
0.141047 0.862762 
0.141215 0.862418 
0.141383 0.862073 
0.141551 0.861728 
0.141719 0.861383 
0.141887 0.861037 
0.142055 0.860691 
0.142222 0.860345 
0.14239 0.859998 
0.142558 0.859651 
0.142725 0.859303 
0.142893 0.858955 
0.14306 0.858607 
0.143227 0.858258 
0.143395 0.85791 
0.143562 0.85756 
0.143729 0.857211 
0.143896 0.85686 
0.144063 0.85651 
0.14423 0.856159 
0.144397 0.855808 
0.144564 0.855457 
0.14473 0.855105 
0.144897 0.854753 
0.145063 0.8544 
0.14523 0.854047 
0.145396 0.853694 
0.145563 0.853341 
0.145729 0.852987 
0.145895 0.852632 
0.146061 0.852278 
0.146228 0.851923 
0.146394 0.851567 
0.14656 0.851212 
0.146725 0.850856 
0.146891 0.850499 
0.147057 0.850142 
0.147223 0.849785 
0.147388 0.849428 
0.147554 0.84907 
0.147719 0.848712 
0.147885 0.848353 
0.14805 0.847995 
0.148215 0.847635 
0.14838 0.847276 
0.148546 0.846916 
0.148711 0.846556 
0.148876 0.846195 
0.149041 0.845834 
0.149205 0.845473 
0.14937 0.845111 
0.149535 0.844749 
0.149699 0.844387 
0.149864 0.844024 
0.150029 0.843661 
0.150193 0.843298 
0.150357 0.842934 
0.150522 0.84257 
0.150686 0.842206 
0.15085 0.841841 
0.151014 0.841476 
0.151178 0.841111 
0.151342 0.840745 
0.151506 0.840379 
0.151669 0.840012 
0.151833 0.839646 
0.151997 0.839278 
0.15216 0.838911 
0.152324 0.838543 
0.152487 0.838175 
0.152651 0.837807 
0.152814 0.837438 
0.152977 0.837069 
0.15314 0.836699 
0.153303 0.836329 
0.153466 0.835959 
0.153629 0.835589 
0.153792 0.835218 
0.153955 0.834847 
0.154117 0.834475 
0.15428 0.834104 
0.154443 0.833731 
0.154605 0.833359 
0.154768 0.832986 
0.15493 0.832613 
0.155092 0.832239 
0.155254 0.831866 
0.155416 0.831491 
0.155578 0.831117 
0.15574 0.830742 
0.155902 0.830367 
0.156064 0.829992 
0.156226 0.829616 
0.156388 0.82924 
0.156549 0.828863 
0.156711 0.828486 
0.156872 0.828109 
0.157034 0.827732 
0.157195 0.827354 
0.157356 0.826976 
0.157517 0.826597 
0.157678 0.826219 
0.157839 0.82584 
0.158 0.82546 
0.158161 0.825081 
0.158322 0.8247 
0.158483 0.82432 
0.158643 0.823939 
0.158804 0.823558 
0.158964 0.823177 
0.159125 0.822795 
0.159285 0.822413 
0.159445 0.822031 
0.159606 0.821648 
0.159766 0.821265 
0.159926 0.820882 
0.160086 0.820498 
0.160246 0.820114 
0.160405 0.81973 
0.160565 0.819346 
0.160725 0.818961 
0.160884 0.818576 
0.161044 0.81819 
0.161203 0.817804 
0.161363 0.817418 
0.161522 0.817032 
0.161681 0.816645 
0.16184 0.816258 
0.162 0.81587 
0.162159 0.815482 
0.162317 0.815094 
0.162476 0.814706 
0.162635 0.814317 
0.162794 0.813928 
0.162952 0.813539 
0.163111 0.813149 
0.163269 0.812759 
0.163428 0.812369 
0.163586 0.811979 
0.163744 0.811588 
0.163902 0.811196 
0.164061 0.810805 
0.164219 0.810413 
0.164377 0.810021 
0.164534 0.809629 
0.164692 0.809236 
0.16485 0.808843 
0.165007 0.808449 
0.165165 0.808056 
0.165322 0.807662 
0.16548 0.807267 
0.165637 0.806873 
0.165794 0.806478 
0.165952 0.806083 
0.166109 0.805687 
0.166266 0.805291 
0.166423 0.804895 
0.166579 0.804499 
0.166736 0.804102 
0.166893 0.803705 
0.16705 0.803308 
0.167206 0.80291 
0.167363 0.802512 
0.167519 0.802114 
0.167675 0.801715 
0.167832 0.801316 
0.167988 0.800917 
0.168144 0.800518 
0.1683 0.800118 
0.168456 0.799718 
0.168612 0.799318 
0.168767 0.798917 
0.168923 0.798516 
0.169079 0.798115 
0.169234 0.797713 
0.16939 0.797311 
0.169545 0.796909 
0.1697 0.796507 
0.169855 0.796104 
0.170011 0.795701 
0.170166 0.795298 
0.170321 0.794894 
0.170476 0.79449 
0.17063 0.794086 
0.170785 0.793681 
0.17094 0.793277 
0.171094 0.792871 
0.171249 0.792466 
0.171403 0.79206 
0.171558 0.791654 
0.171712 0.791248 
0.171866 0.790842 
0.17202 0.790435 
0.172174 0.790028 
0.172328 0.78962 
0.172482 0.789212 
0.172636 0.788804 
0.17279 0.788396 
0.172943 0.787987 
0.173097 0.787579 
0.17325 0.787169 
0.173404 0.78676 
0.173557 0.78635 
0.17371 0.78594 
0.173863 0.78553 
0.174017 0.785119 
0.17417 0.784708 
0.174322 0.784297 
0.174475 0.783886 
0.174628 0.783474 
0.174781 0.783062 
0.174933 0.78265 
0.175086 0.782237 
0.175238 0.781824 
0.175391 0.781411 
0.175543 0.780998 
0.175695 0.780584 
0.175847 0.78017 
0.175999 0.779756 
0.176151 0.779341 
0.176303 0.778926 
0.176455 0.778511 
0.176607 0.778096 
0.176758 0.77768 
0.17691 0.777264 
0.177061 0.776848 
0.177213 0.776432 
