  nrad, njump, ngauss =          501           5          48
 King model; w0 =   -5.00000  M, rc, sigma, rhocen =     1.000000000    0.204000000    0.761047656    9.967724277     b =
     0.946128098    0.029781506    0.900827654   -0.579193535   -0.022879350    0.050888906    0.050854151    0.017975515
     0.975647341    0.025764448    0.910316250   -0.550233858   -0.021418398    0.050021011    0.050026506    0.016588634
     1.006737240    0.022138057    0.919484855   -0.521274182   -0.019981434    0.049228885    0.049267754    0.015269392
     1.039540510    0.018878077    0.928308497   -0.492314505   -0.018566611    0.048486726    0.048520263    0.014014489
     1.074218248    0.015961291    0.936760484   -0.463354828   -0.017172812    0.047775857    0.047815907    0.012820790
     1.110953040    0.013365470    0.944812390   -0.434395151   -0.015798997    0.047113334    0.047158131    0.011685307
     1.149952712    0.011069254    0.952434101   -0.405435475   -0.014443750    0.046480677    0.046438329    0.010605203
     1.191454898    0.009052188    0.959593937   -0.376475798   -0.013106952    0.045839181    0.045778403    0.009577776
     1.235732615    0.007294563    0.966258913   -0.347516121   -0.011788917    0.045182887    0.045233694    0.008600457
     1.283101140    0.005777397    0.972395175   -0.318556444   -0.010490436    0.044480206    0.044524836    0.007670803
     1.333926507    0.004482386    0.977968705   -0.289596768   -0.009213389    0.043701238    0.043730207    0.006786488
     1.388636117    0.003391767    0.982946423   -0.260637091   -0.007960526    0.042794071    0.042834705    0.005945302
     1.447732033    0.002488334    0.987297829   -0.231677414   -0.006736782    0.041679925    0.041714379    0.005145141
     1.511807772    0.001755276    0.990997447   -0.202717737   -0.005549180    0.040283114    0.040323872    0.004384004
     1.581569661    0.001176108    0.994028375   -0.173758061   -0.004407668    0.038465960    0.038479372    0.003659989
     1.657864136    0.000734538    0.996387360   -0.144798384   -0.003327083    0.036045293    0.036057343    0.002971284
     1.741712902    0.000414282    0.998091858   -0.115838707   -0.002328239    0.032765706    0.032809183    0.002316168
     1.834358455    0.000198865    0.999189570   -0.086879030   -0.001441465    0.028227338    0.028279371    0.001693002
     1.937323425    0.000071121    0.999770098   -0.057919354   -0.000710403    0.021920266    0.021941687    0.001100228
     2.052488667    0.000012389    0.999975953   -0.028959677   -0.000198562    0.012846839    0.012994493    0.000536364
     2.182197937    0.000000000    1.000000000    0.000000000    0.000000000    0.000284710    0.000000000    0.000000000
